year,icd_main_category,icd_detail_category,gender,death_age,death_count
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,65 - 69,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,70 - 74,3
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,75 - 79,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,80 - 84,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-003-Diarrhoea and gastroenteritis of presumed infectious origin(A09),F,85 and Over,2
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-004-Other intestinal infectious diseases(A01-A08),F,03,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-004-Other intestinal infectious diseases(A01-A08),F,30 - 39,2
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-004-Other intestinal infectious diseases(A01-A08),F,70 - 74,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-004-Other intestinal infectious diseases(A01-A08),F,75 - 79,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-004-Other intestinal infectious diseases(A01-A08),F,85 and Over,4
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-005-Respiratory tuberculosis(A15-A16),F,20 - 29,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-005-Respiratory tuberculosis(A15-A16),F,50 - 59,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-005-Respiratory tuberculosis(A15-A16),F,60 - 64,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-005-Respiratory tuberculosis(A15-A16),F,85 and Over,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-006-Other tuberculosis(A17-A19),F,80 - 84,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,30 - 39,2
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,50 - 59,4
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,60 - 64,5
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,65 - 69,3
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,70 - 74,3
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,75 - 79,8
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,80 - 84,8
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-012-Septicaemia(A40-A41),F,85 and Over,12
2018,1-001-Certain infection and parasitic diseases(A10-B99),"1-017-Other arthropod-borne viral fevers				and viral haemorrhagic fevers(A90-A94,A96-A99)",F,60 - 64,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),"1-017-Other arthropod-borne viral fevers				and viral haemorrhagic fevers(A90-A94,A96-A99)",F,70 - 74,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),"1-017-Other arthropod-borne viral fevers				and viral haemorrhagic fevers(A90-A94,A96-A99)",F,75 - 79,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-019-Viral hepatitis(B15-B19),F,60 - 64,2
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,28 days - under 1 years,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,30 - 39,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,40 - 49,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,50 - 59,2
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,65 - 69,1
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,80 - 84,2
2018,1-001-Certain infection and parasitic diseases(A10-B99),1-025-Remainder of certain infectious and parasitic diseases,F,85 and Over,1
2018,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,20 - 29,1
2018,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,30 - 39,3
2018,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,40 - 49,6
2018,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,50 - 59,11
2018,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,60 - 64,8
2018,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,65 - 69,9
2018,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,70 - 74,7
2018,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,75 - 79,8
2018,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,80 - 84,4
2018,1-026-Neplasms(C00-D48),"1-027-Malignant neoplasm of lip, oral cavity and pharynx(C00-C14)",F,85 and Over,3
2018,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,50 - 59,2
2018,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,65 - 69,2
2018,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,70 - 74,2
2018,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,75 - 79,2
2018,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,80 - 84,3
2018,1-026-Neplasms(C00-D48),1-028-Malignant neoplasm of oesophagus(C15),F,85 and Over,3
2018,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,30 - 39,1
2018,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,40 - 49,4
2018,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,50 - 59,21
2018,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,60 - 64,14
2018,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,65 - 69,16
2018,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,70 - 74,13
2018,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,75 - 79,18
2018,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,80 - 84,23
2018,1-026-Neplasms(C00-D48),1-029-Malignant neoplasm of stomach(C16),F,85 and Over,28
2018,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,20 - 29,1
2018,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,30 - 39,4
2018,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,40 - 49,15
2018,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,50 - 59,47
2018,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,60 - 64,55
2018,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,65 - 69,41
2018,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,70 - 74,52
2018,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,75 - 79,52
2018,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,80 - 84,63
2018,1-026-Neplasms(C00-D48),"1-030-Malignant neoplasm of colon, rectum and anus(C18-C21)",F,85 and Over,113
2018,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,30 - 39,2
2018,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,40 - 49,1
2018,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,50 - 59,12
2018,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,60 - 64,10
2018,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,65 - 69,20
2018,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,70 - 74,24
2018,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,75 - 79,30
2018,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,80 - 84,26
2018,1-026-Neplasms(C00-D48),1-031-Malignant neoplasm of liver and intrahepatic bile ducts(C22),F,85 and Over,37
2018,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,30 - 39,2
2018,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,40 - 49,2
2018,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,50 - 59,19
2018,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,60 - 64,30
2018,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,65 - 69,26
2018,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,70 - 74,35
2018,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,75 - 79,27
2018,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,80 - 84,17
2018,1-026-Neplasms(C00-D48),1-032-Malignant neoplasm of pancreas(C25),F,85 and Over,33
2018,1-026-Neplasms(C00-D48),1-033-Malignant neoplasm of larynx(C32),F,65 - 69,1
2018,1-026-Neplasms(C00-D48),1-033-Malignant neoplasm of larynx(C32),F,70 - 74,1
2018,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,30 - 39,4
2018,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,40 - 49,13
2018,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,50 - 59,57
2018,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,60 - 64,39
2018,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,65 - 69,65
2018,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,70 - 74,36
2018,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,75 - 79,59
2018,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,80 - 84,58
2018,1-026-Neplasms(C00-D48),"1-034-Malignant neoplasm of trachea, bronchus and lung(C33-C34)",F,85 and Over,76
2018,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,40 - 49,1
2018,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,50 - 59,1
2018,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,65 - 69,4
2018,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,70 - 74,1
2018,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,75 - 79,2
2018,1-026-Neplasms(C00-D48),1-035-Malignant melanoma of skin(C43),F,85 and Over,2
2018,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,20 - 29,1
2018,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,30 - 39,17
2018,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,40 - 49,47
2018,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,50 - 59,124
2018,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,60 - 64,63
2018,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,65 - 69,74
2018,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,70 - 74,55
2018,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,75 - 79,41
2018,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,80 - 84,37
2018,1-026-Neplasms(C00-D48),1-036-Malignant neoplasm of breast(C50),F,85 and Over,33
2018,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,30 - 39,1
2018,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,40 - 49,9
2018,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,50 - 59,22
2018,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,60 - 64,4
2018,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,65 - 69,8
2018,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,70 - 74,4
2018,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,75 - 79,10
2018,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,80 - 84,2
2018,1-026-Neplasms(C00-D48),1-037-Malignant neoplasm of cervix uteri(C53),F,85 and Over,5
2018,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,30 - 39,1
2018,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,40 - 49,6
2018,1-026-Neplasms(C00-D48),1-038-Malignant neoplasm of other and unspecified parts of uterus(C54-C55),F,50 - 59,27
