ID,timestamp,Username,caption,no. of likes,no. of comments,comments,food,cuisine
0,30/06/2020,8days_eat,katong’s famous hokkien mee and fried mee sua hawker stall yong huat at alibabar kopitiam is closing permanently. read more via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo). 📷: kelvin chia bit.ly/2bpa4ds,326,7,"['@lauren.khoury still can’t crack a smile 😬', '@warren_tqy', '@viggg @bottombracket @riardsg @pamelatlc oh nooooooo!!! Captain Lard!!', '@in_vincentble luckily we went there last week! @albertee01 there goes yr fav CKT!', 'It is my go-to char kway teow bee Hoon spot. At least once a week! I call uncle on his mobile to make sure he is open before I head down because I just can’t stand being disappointed when the craving hits me! 😜 been stuck in Oz so Long the craving is unbelievably difficult.']",hokkien mee,Chinese
1,30/06/2020,8days_eat,"for the first time in singapore, heytea will be offering baked goodies like croissants, muffins & cookies to pair with its fruit teas. click story link in our profile for price & flavour details (the url starting with “linkinprofile” below our logo). 📸 heytea 

.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #heytea #fruitteas #pastries #croissant #muffin #cookies 

https://bit.ly/31stkim",258,3,"['Awesomeeeee neeed this now', '@becauseitsdone hei huili lets go heytea']",,
2,29/06/2020,8days_eat,korean “fat-carons” — supersized macarons stuffed with all kinds of tasty ingredients. and there’s a patisserie in singapore selling ’em. read more via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo). 📷: @yipjieying_ bit.ly/2bmwxyz,453,3,"['#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 #macarons #뚱카롱', 'Wow looks amazing 😍', '♥️♥️♥️ Thank you for featuring @8dayssg and @yipjieying ♥️♥️']",acar,Malay
3,29/06/2020,8days_eat,"online ordering system oddle has launched a new food order & delivery platform called @oddleeats, which partners over 500 restaurants ranging from fine-dining picks like odette, to mid-range eateries like birds of a feather, to casual options like white restaurant (sembawang white bee hoon) and swee choon dim sum. we’ve had a look at the paltform’s website and found it pretty useful, with each restaurant’s minimum order and delivery fee stated upfront so you don’t waste time clicking around. the company also claims to charge a lower commission fee compared to other food delivery aggregators — about 10% instead of the average 30%.",287,3,"['THANK YOU 👀📸🔥', 'Absolutely love this tinkat carrier! Not to mention it’s contents 😋', '@evonne89']",,
4,29/06/2020,8days_eat,"a canelé is a bite-sized french pastry from bordeaux that's rich with vanilla & rum. a good one boasts a slightly charred crisp crust & a tender, springy interior. besides the classic plain offering, this 23-year-old home baker also sells stuffed canelés, like a red velvet one with cream cheese & another with chocolate cream. click link in our profile for the full story (the url starting with “linkinprofile” below our logo) .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbaker #canelé #redvelvet #chocolate 
https://bit.ly/3g8rmwi",431,3,"['@jet8food , I see it! 😁', '@brave_nic', '🙏🏼💗💗']",,
5,29/06/2020,8days_eat,"@7elevensg now has $2, $3 and $4 all-day breakfast combos where you can grab a light snack like its new tuna croissant and fried bee boon to go with a cup of coffee (the cuppas are only available at its outlets with a ‘7café’, though). the convenience store chain is also selling its own reusable tumbler now, which you can use to tapow your kopi.",148,0,[],kopi,Drinks and beverages
6,27/06/2020,8days_eat,"an ex-cna producer makes wonderful eight treasure duck, deboned & stuffed with glutinous rice, mushrooms, dried oysters, dried prawns, lup cheong, salted egg yolk & chestnuts. each bird takes over 2 days to prep — find out how to get your hands on one by clicking the link in our profile (the url starting with “linkinprofile” below our logo) .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #duck #eighttreasureduck

https://bit.ly/2cmyo50",311,1,['👍'],,
7,27/06/2020,8days_eat,"hanging out at the beach (with safe distancing) is finally great again. and @rumoursbeachclub at sentosa is bringing diners to ‘bali’ with a balinese-style jimbaran seafood platter, which has a grilled bamboo  lobster, red snapper, jumbo prawns and squid. you can get it delivered islandwide, but we say the fresh, springy, simply seasoned seafood is really best enjoyed hot off the grill.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 #rumoursbeachclub",248,3,"['Despite this Covid-19 Pandemic Situation which forced us all into self cell, we can actually earn from home simply by investing in stocks through the guide of @official_michael_d_daniels . I have actually earned close to $22,000 just this past few weeks. For more info contact @official_michael_d_daniels', 'Delicious 😋']",,
8,26/06/2020,8days_eat,strange but true: @audiohousesingapore is now selling pahang mao shan wang durians. read more via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo). bit.ly/2yai8wr,266,3,"['#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 #durian #maoshanwang', 'Great😉', 'Wow is this a durian speaker? Try putting it near to your ears']",,
9,25/06/2020,8days_eat,@tigersugarsg now has its own black sugar popcorn. is it nicer than garrett popcorn’s caramelcrisp? read about our taste test + verdict via link in our profile (click on the url that starts with ‘linkinprofile’ below the 8 days logo). 📷: @yipjieying_ bit.ly/3g3pgrz,301,3,"['#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 #tigersugar #tigersugarpopcorn #bubbletea #bbt #boba', 'For real OMG 😋😋😋']",,
