,timestamp,Username,caption,no. of likes,no. of comments,comments,food
0,30/6/2020,8days_eat,Katong’s famous Hokkien mee and fried mee sua hawker stall Yong Huat at Alibabar kopitiam is closing permanently. Read more via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo). 📷: Kelvin Chia bit.ly/2BPA4DS,326,7,"['@lauren.khoury still can’t crack a smile 😬', '@warren_tqy', '@viggg @bottombracket @riardsg @pamelatlc oh nooooooo!!! Captain Lard!!', '@in_vincentble luckily we went there last week! @albertee01 there goes yr fav CKT!', 'It is my go-to char kway teow bee Hoon spot. At least once a week! I call uncle on his mobile to make sure he is open before I head down because I just can’t stand being disappointed when the craving hits me! 😜 been stuck in Oz so Long the craving is unbelievably difficult.']",food 5
1,30/6/2020,8days_eat,"For the first time in Singapore, Heytea will be offering baked goodies like croissants, muffins & cookies to pair with its fruit teas. Click story link in our profile for price & flavour details (the URL starting with “linkinprofile” below our logo). 📸 HEYTEA 

.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #heytea #fruitteas #pastries #croissant #muffin #cookies 

https://bit.ly/31sTKIm",258,3,"['Awesomeeeee neeed this now', '@becauseitsdone hei huili lets go heytea']",food 0
2,29/6/2020,8days_eat,Korean “fat-carons” — supersized macarons stuffed with all kinds of tasty ingredients. And there’s a patisserie in Singapore selling ’em. Read more via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo). 📷: @yipjieying_ bit.ly/2BMWXYz,453,3,"['#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 #macarons #뚱카롱', 'Wow looks amazing 😍', '♥️♥️♥️ Thank you for featuring @8dayssg and @yipjieying ♥️♥️']",food 3
3,29/6/2020,8days_eat,"Online ordering system Oddle has launched a new food order & delivery platform called @oddleeats, which partners over 500 restaurants ranging from fine-dining picks like Odette, to mid-range eateries like Birds of a Feather, to casual options like White Restaurant (Sembawang white bee hoon) and Swee Choon Dim Sum. We’ve had a look at the paltform’s website and found it pretty useful, with each restaurant’s minimum order and delivery fee stated upfront so you don’t waste time clicking around. The company also claims to charge a lower commission fee compared to other food delivery aggregators — about 10% instead of the average 30%.",287,3,"['THANK YOU 👀📸🔥', 'Absolutely love this tinkat carrier! Not to mention it’s contents 😋', '@evonne89']",food 3
4,29/6/2020,8days_eat,"A canelé is a bite-sized French pastry from Bordeaux that's rich with vanilla & rum. A good one boasts a slightly charred crisp crust & a tender, springy interior. Besides the classic plain offering, this 23-year-old home baker also sells stuffed canelés, like a red velvet one with cream cheese & another with chocolate cream. Click link in our profile for the full story (the URL starting with “linkinprofile” below our logo) .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #circuitbaker #canelé #redvelvet #chocolate 
https://bit.ly/3g8rMWI",431,3,"['@jet8food , I see it! 😁', '@brave_nic', '🙏🏼💗💗']",food 7
5,29/6/2020,8days_eat,"@7elevensg now has $2, $3 and $4 all-day breakfast combos where you can grab a light snack like its new tuna croissant and fried bee boon to go with a cup of coffee (the cuppas are only available at its outlets with a ‘7Café’, though). The convenience store chain is also selling its own reusable tumbler now, which you can use to tapow your kopi.",148,0,[],food 9
6,27/6/2020,8days_eat,"An ex-CNA producer makes wonderful Eight Treasure Duck, deboned & stuffed with glutinous rice, mushrooms, dried oysters, dried prawns, lup cheong, salted egg yolk & chestnuts. Each bird takes over 2 days to prep — find out how to get your hands on one by clicking the link in our profile (the URL starting with “linkinprofile” below our logo) .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #duck #eighttreasureduck

https://bit.ly/2CMyO50",311,1,['👍'],food 3
7,27/6/2020,8days_eat,"Hanging out at the beach (with safe distancing) is finally great again. And @rumoursbeachclub at Sentosa is bringing diners to ‘Bali’ with a Balinese-style Jimbaran Seafood Platter, which has a grilled bamboo  lobster, red snapper, jumbo prawns and squid. You can get it delivered islandwide, but we say the fresh, springy, simply seasoned seafood is really best enjoyed hot off the grill.
.
.
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 #rumoursbeachclub",248,3,"['Despite this Covid-19 Pandemic Situation which forced us all into self cell, we can actually earn from home simply by investing in stocks through the guide of @official_michael_d_daniels . I have actually earned close to $22,000 just this past few weeks. For more info contact @official_michael_d_daniels', 'Delicious 😋']",food 5
8,26/6/2020,8days_eat,Strange but true: @audiohousesingapore is now selling Pahang Mao Shan Wang durians. Read more via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo). bit.ly/2YAi8WR,266,3,"['#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 #durian #maoshanwang', 'Great😉', 'Wow is this a durian speaker? Try putting it near to your ears']",food 2
9,25/6/2020,8days_eat,@tigersugarsg now has its own Black Sugar Popcorn. Is it nicer than Garrett Popcorn’s CaramelCrisp? Read about our taste test + verdict via link in our profile (click on the URL that starts with ‘linkinprofile’ below the 8 Days logo). 📷: @yipjieying_ bit.ly/3g3pgRz,301,3,"['#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #sgunited #savefnbsg #circuitbreaker #phase2 #tigersugar #tigersugarpopcorn #bubbletea #bbt #boba', 'For real OMG 😋😋😋']",food 4
10,25/6/2020,8days_eat,"Now you can make Hello Kitty, My Melody & Little Twin Star chiffon cakes as pretty as deco chiffon cake specialist @susanne.decochiffon‘s. Join her Sanrio-approved online class — you can also buy kawaii Sanrio baking equipment. Click story link in our profile for price details (the URL starting with “linkinprofile” below our logo). 📸 Sanrio Singapore .
.
.
.
.
.
.
#8dayseat #sgfoodies #instafood #yum #sgfood #foodporn #whati8today #onthetable #igsg #food #yummyinmytum #foodgasm #igfood #sgfood #covid19 #flattenthecurve #stayhome #chiffoncake #mymelody #hellokitty #littletwinstars #sanrio

https://bit.ly/37ZWKxa",275,2,"['""Focus on the journey, not the destination. Joy is found not in finishing an activity but in doing it."" All my gratitude goes to you Sir Michael you are the main source of my joy today... I got my profit and this  is what I got from your amazing platform. From the bottom of my heart, I thank you, and appreciate all you have done. Your generosity has given me new hope! Once thanks Sir Michael @official_michael_d_daniels I highly recommend you to Sir Michael @official_michael_d_daniels', 'Thank you!💖💖💖']",food 7
