Food,Cuisine,alternative names
bak kut teh,Chinese,bak kut teh
beef kway teow,Chinese,beef kway teow
bak chang,Chinese,bak chang
bak chor mee,Chinese,bak chor mee
ban mian,Chinese,ban mian
chai tow kway,Chinese,chai tow kway
char kway teow,Chinese,char kway teow
char siu,Chinese,char siu
crab bee hoon,Chinese,crab bee hoon
drunken prawns,Chinese,drunken prawns
duck rice,Chinese,duck rice
fish ball noodles,Chinese,fish ball noodles
fish soup bee hoon,Chinese,fish soup bee hoon
frog leg porridge,Chinese,frog leg porridge
hae mee,Chinese,hae mee
hainanese chicken rice,Chinese,hainanese chicken rice
har cheong gai,Chinese,har cheong gai
hokkien mee,Chinese,hokkien mee
hum chim peng,Chinese,hum chim peng
kuay chap,Chinese,kuay chap
mee pok,Chinese,mee pok
min chiang kueh,Chinese,min chiang kueh
pig's brain soup,Chinese,pig's brain soup
pig's organ soup,Chinese,pig's organ soup
popiah,Chinese,popiah
shredded chicken noodles,Chinese,shredded chicken noodles
sliced fish soup,Chinese,sliced fish soup
soon kway,Chinese,soon kway
teochew porridge,Chinese,teochew porridge
turtle soup,Chinese,turtle soup
vegetarian bee hoon,Chinese,vegetarian bee hoon
yong tau foo,Chinese,yong tau foo
youtiao,Chinese,youtiao
acar,Malay,acar
assam pedas,Malay,assam pedas
ayam penyet,Malay,ayam penyet
bakso,Malay,bakso
begedil,Malay,begedil
curry puff,Malay,curry puff
dendeng paru,Malay,dendeng paru
goreng pisang,Malay,goreng pisang
gulai daun ubi,Malay,gulai daun ubi
keropok,Malay,keropok
ketupat,Malay,ketupat
lemak siput,Malay,lemak siput
lontong,Malay,lontong
nagasari,Malay,nagasari
nasi goreng,Malay,nasi goreng
nasi padang,Malay,nasi padang
otak-otak,Malay,otak-otak
pecel lele,Malay,pecel lele
rawon,Malay,rawon
rojak bandung,Malay,rojak bandung
roti john,Malay,roti john
sambal,Malay,sambal
satay,Malay,satay
sayur lodeh,Malay,sayur lodeh
soto,Malay,soto
soto ayam,Malay,soto ayam
tumpeng,Malay,tumpeng
appam,Indian,appam
dosa,Indian,dosa
murtabak,Indian,murtabak
naan,Indian,naan
roti prata,Indian,roti prata
soup kambing,Indian,soup kambing
soup tulang,Indian,soup tulang
soup tulang merah,Indian,soup tulang merah
tandoori chicken,Indian,tandoori chicken
vadai,Indian,vadai
ayam buah keluak,Cross-cultural,ayam buah keluak
biryani,Cross-cultural,biryani
cereal prawns,Cross-cultural,cereal prawns
chili crab pasta,Cross-cultural,chili crab pasta
curry laksa,Cross-cultural,curry laksa
fish head curry,Cross-cultural,fish head curry
kari debal,Cross-cultural,kari debal
kari lemak ayam,Cross-cultural,kari lemak ayam
katong laksa,Cross-cultural,katong laksa
kueh pie tee,Cross-cultural,kueh pie tee
kway teow goreng,Cross-cultural,kway teow goreng
mee rebus,Cross-cultural,mee rebus
mee siam,Cross-cultural,mee siam
mee goreng,Cross-cultural,mee goreng
mee soto,Cross-cultural,mee soto
rojak,Cross-cultural,rojak
sambal kangkong,Cross-cultural,sambal kangkong
satay bee hoon,Cross-cultural,satay bee hoon
tauhu goreng,Cross-cultural,tauhu goreng
black pepper crab,Seafood,black pepper crab
chilli crab,Seafood,chilli crab
oyster omelette,Seafood,oyster omelette
sambal lala,Seafood,sambal lala
sambal stingray,Seafood,sambal stingray
bubur cha cha,Desserts,bubur cha cha
chendol,Desserts,chendol
cheng tng,Desserts,cheng tng
ice kacang,Desserts,ice kacang
orh-nee,Desserts,orh-nee
pulut hitam,Desserts,pulut hitam
tau suan,Desserts,tau suan
bandung,Drinks and beverages,bandung
chin chow drink,Drinks and beverages,chin chow drink
kopi,Drinks and beverages,kopi
horlicks,Drinks and beverages,horlicks
milo,Drinks and beverages,milo
sugarcane juice,Drinks and beverages,sugarcane juice
teh halia tarik,Drinks and beverages,teh halia tarik
singapore sling,Drinks and beverages,singapore sling
yuenyeung coffee,Drinks and beverages,yuenyeung coffee
kueh lapis,Desserts,kueh lapis
lapis sagu,Desserts,lapis sagu
beef kway teow,Chinese,kway teow
hainanese chicken rice,Chinese,chicken rice
shredded chicken noodles,Chinese,chicken noodles
nasi goreng,Malay,nasigoreng
nasi padang,Malay,nasipadang
nasi goreng,Malay,nasi-goreng
nasi padang,Malay,nasi-padang
roti john,Malay,roti-john
roti prata,Indian,rotiprata
roti prata,Indian,roti-prata
roti prata,Indian,prata
kueh,Desserts,kuih
kueh,Desserts,kueh
chin chow drink,Drinks and beverages,chin chow
chin chow drink,Drinks and beverages,chinchow
chin chow drink,Drinks and beverages,chin-chow
yuenyeung coffee,Drinks and beverages,yuenyeung
sushi,Japanese,sushi
udon,Japanese,udon
tofu,Japanese,tofu
tempura,Japanese,tempura
yakitori,Japanese,yakitori
sashimi,Japanese,sashimi
ramen,Japanese,ramen
donburi,Japanese,donburi
natto,Japanese,natto
oden,Japanese,oden
tamagoyaki,Japanese,tamagoyaki
soba,Japanese,soba
tonkatsu,Japanese,tonkatsu
kashipan,Japanese,kashipan
sukiyaki,Japanese,sukiyaki
miso soup,Japanese,miso soup
okonomiyaki,Japanese,okonomiyaki
mentaiko,Japanese,mentaiko
nikujaga,Japanese,nikujaga
curry rice,Japanese,curry rice
unagi no kabayaki,Japanese,unagi no kabayaki
shabu shabu,Japanese,shabu shabu
onigiri,Japanese,onigiri
gyoza,Japanese,gyoza
takoyaki,Japanese,takoyaki
kaiseki ryori,Japanese,kaiseki ryori
edamame,Japanese,edamame
yakisoba,Japanese,yakisoba
chawanmushi,Japanese,chawanmushi
wagashi,Japanese,wagashi
Chili Pickled Cabbage (Kimchi 김치),Japanese,Chili Pickled Cabbage (Kimchi 김치)
Samgyeopsal (삼겹살),Japanese,Samgyeopsal (삼겹살)
Pork Bulgogi (Daeji Bulgogi 불고기),Japanese,Pork Bulgogi (Daeji Bulgogi 불고기)
Korean Barbecue (Gogigui 고기구이),Japanese,Korean Barbecue (Gogigui 고기구이)
Korean Barbecue (Gogigui 고기구이),Japanese,Korean Barbecue (Gogigui 고기구이)
Hangover Stew (Haejangguk 해장국),Japanese,Hangover Stew (Haejangguk 해장국)
Soft Tofu Stew (Sundubu Jjigae 순두부찌게),Japanese,Soft Tofu Stew (Sundubu Jjigae 순두부찌게)
Mixed Seafood Stew,Japanese,Mixed Seafood Stew
Kimchi Stew (Kimchi Jjigae 김치찌개),Japanese,Kimchi Stew (Kimchi Jjigae 김치찌개)
Fish Stew (Saengseon Jjigae 생선찌개),Japanese,Fish Stew (Saengseon Jjigae 생선찌개)
Spicy Stir Fried Octopus (Nakji Bokkeum 낙지볶음),Japanese,Spicy Stir Fried Octopus (Nakji Bokkeum 낙지볶음)
Korean Ox Bone Soup (Seolleongtang 설렁탕),Japanese,Korean Ox Bone Soup (Seolleongtang 설렁탕)
Hotpot Mixed Rice (Dolsot Bibimbap 돌솥 비빔밥),Japanese,Hotpot Mixed Rice (Dolsot Bibimbap 돌솥 비빔밥)
Korean Mixed Rice (Cold Bibimbap 비빔밥),Japanese,Korean Mixed Rice (Cold Bibimbap 비빔밥)
Steamed Mandu Dumplings (Jjinmandu 찐만두),Japanese,Steamed Mandu Dumplings (Jjinmandu 찐만두)
Deep Fried Mandu (Yaki Mandu),Japanese,Deep Fried Mandu (Yaki Mandu)
Noodles in Ice Soup (Mul Naengmyeon 물 냉면),Japanese,Noodles in Ice Soup (Mul Naengmyeon 물 냉면)
Mixed Cold Noodles (Bibim Naengmyeon 비빔 냉면),Japanese,Mixed Cold Noodles (Bibim Naengmyeon 비빔 냉면)
Kimchi Fried Rice (Kimchi Bokkeumbap 김치 볶음밥),Japanese,Kimchi Fried Rice (Kimchi Bokkeumbap 김치 볶음밥)
Fried Sweet Potato Noodles (Japchae 잡채),Japanese,Fried Sweet Potato Noodles (Japchae 잡채)
Mung Bean Pancake (Bindaetteok 빈대떡),Japanese,Mung Bean Pancake (Bindaetteok 빈대떡)
Korean Blood Sausage (Soondae 순대),Japanese,Korean Blood Sausage (Soondae 순대)
Octopus Mixed Plate,Japanese,Octopus Mixed Plate
Gimbap 김밥,Japanese,Gimbap 김밥
Korean Chicken Skewers (Dakkochi 닭꼬치),Japanese,Korean Chicken Skewers (Dakkochi 닭꼬치)
Korean Side Dishes (Banchan반찬),Japanese,Korean Side Dishes (Banchan반찬)
Tornado Potatoes,Japanese,Tornado Potatoes
Tornado Potatoes,Japanese,Tornado Potatoes
