brand_and_product_name,package_size_weight
lim_traders_chicken_breaded_patties,1.8kg
100plus_active_non-carbonated_drink,1.5l
100plus_active_non-carbonated_drink,12_x_300ml
100plus_active_non-carbonated_drink,300ml
100plus_active_non-carbonated_drink,500ml
100plus_active_non-carbonated_drink,6_x_300ml
100plus_active_non-carbonated_isotonic_drink,1.5l
100plus_active_non-carbonated_isotonic_drink,300ml
100plus_active_non-carbonated_isotonic_drink,500ml
100plus_blackcurrant,1.5l
100plus_blackcurrant,12_x_1.5l
100plus_blackcurrant,24_x_500ml
100plus_blackcurrant,500ml
100plus_edge_non-carbonated_isotonic_drink,1.5l
100plus_edge_non-carbonated_isotonic_drink,300ml
100plus_edge_non-carbonated_isotonic_drink,500ml
100plus_lemon_lime,1.5l
100plus_lemon_lime,325ml
100plus_lemon_lime,500ml
100plus_orange,1.5l
100plus_orange,500ml
100plus_original,1.5l
100plus_original,12_x_1.5l
100plus_original,12_x_325ml
100plus_original,24_x_325ml
100plus_original,24_x_500ml
100plus_original,325ml
100plus_original,500ml
100plus_original,6_x_325ml
100plus_original_isotonic_drink,1.5l
100plus_original_isotonic_drink,325ml
100plus_original_isotonic_drink,500ml
100plus_zero_sugar,1.5l
100plus_zero_sugar,12_x_1.5l
100plus_zero_sugar,24_x_325ml
100plus_zero_sugar,24_x_500ml
100plus_zero_sugar,325ml
100plus_zero_sugar,4_x_6_x_325ml
100plus_zero_sugar,500ml
100plus_zero_sugar,6_x_325ml
333_super_refined_blended_vegetable_oil,17kg
3a_100%_pure_black_sesame_oil,320ml
3a_100%_pure_black_sesame_oil,750ml
3a_100%_pure_white_sesame_oil,320ml
3a_100%_pure_white_sesame_oil,750ml
3a_brown_rice_vermicelli,500g
3a_crispy_prawn_chilli,180g
3a_crispy_prawn_chilli,320g
3a_ginseng_herbal_soup_mix,40g
3a_instant_tom_yum_paste,380g
3a_klang_bakuteh_herbs_and_spices_mix,35g
3a_premium_sugar_free_black_soybean_soy_sauce,400ml
3-elephants_thai_organic_hom_mali_brown_rice,1kg
3-elephants_thai_organic_hom_mali_brown_rice,2kg
3-elephants_thai_organic_mixed_brown_rice,1kg
3-elephants_thai_organic_mixed_brown_rice,2kg
3-elephants_thai_organic_red_brown_rice,1kg
3-elephants_thai_organic_red_brown_rice,2kg
4care_balance_cereal_drink_less_sugar,180ml
4care_balance_cereal_drink_less_sugar,3_x_180ml
4care_balance_cereal_drink_original,180ml
4care_balance_cereal_drink_original,3_x_180ml
7_fresh_premium_fresh_eggs,10pcs_600g
7_select_fresh_eggs,360g
7_select_premium_fresh_eggs,10pcs_600g
7select_distilled_water_distilled_water,1500ml
7select_distilled_water_distilled_water,550ml
7up_carbonated_lemon_and_lime_flavoured_drink,1.5l
7up_carbonated_lemon_and_lime_flavoured_drink,320ml
7up_carbonated_lemon_and_lime_flavoured_drink,4_x_320ml
7up_carbonated_lemon_and_lime_flavoured_drink,500ml
888_healthier_blend_cooking_oil,15kg
888_healthier_blend_cooking_oil,2_l
888_healthier_blend_cooking_oil,5l
888_healthier_blend_sesame_oil,200g
aaa_100%_natural_chrysanthemum_teabag_with_brown_raw_sugar_tea,10_x_10g
aaa_100%_natural_ginger_powder_teabag_with_brown_raw_sugar,10_x_12g
aaa_3a_premium_japanese_style_natural_brewed_soy_sauce,400_ml
aaa_3a_premium_oyster_with_dried_scallop_sauce,510_g
aaa_black_garlic_herbal_chicken_soup,35g
aaa_cinnamon_hot_pepper_sauce,300ml
aaa_premium_40%_less_sodium_lite_soy_sauce,300ml
aaa_premium_black_bean_low_salt_soy_sauce_paste,400ml
aaa_premium_black_bean_soy_sauce,400ml
