Unnamed: 0,timestamp,Username,no. of likes,no. of comments,ID,food,cuisine,no. of scrapped comments,sentiment score,no. of followers (thousands)
0,30/6/2020,8days_eat,326,7,0,hokkien mee,Chinese,5,0.08228,64.8
1,30/6/2020,8days_eat,258,3,1,cookies,Snacks,2,0,64.8
2,29/6/2020,8days_eat,453,3,2,acar,Malay,3,0.394566667,64.8
3,29/6/2020,8days_eat,287,3,3,,,3,0.399466667,64.8
4,29/6/2020,8days_eat,431,3,4,,,3,0,64.8
5,29/6/2020,8days_eat,148,0,5,kopi,Drinks and beverages,1,0,64.8
6,27/6/2020,8days_eat,311,1,6,salted egg,Snacks,1,0,64.8
7,27/6/2020,8days_eat,248,3,7,,,2,0.05655,64.8
8,26/6/2020,8days_eat,266,3,8,,,3,0.1953,64.8
9,25/6/2020,8days_eat,301,3,9,,,2,0,64.8
10,25/6/2020,8days_eat,275,2,10,,,2,0.706,64.8
11,25/6/2020,8days_eat,176,0,11,,,1,0,64.8
12,24/6/2020,8days_eat,164,2,12,,,2,0,64.8
13,23/6/2020,8days_eat,173,0,13,rib,Western,1,0,64.8
14,23/6/2020,8days_eat,216,0,14,,,1,0,64.8
15,23/6/2020,8days_eat,647,15,15,yong tau foo,Chinese,10,0.05439,64.8
16,22/6/2020,8days_eat,224,4,16,,,3,0.295266667,64.8
17,22/6/2020,8days_eat,496,7,17,,,7,0.394057143,64.8
18,22/6/2020,8days_eat,499,0,18,,,1,0,64.8
19,22/6/2020,8days_eat,237,1,19,,,1,0,64.8
20,21/6/2020,8days_eat,160,1,20,,,1,0,64.8
21,21/6/2020,8days_eat,243,1,21,hainanese chicken rice,Chinese,1,0.5827,64.8
22,20/6/2020,8days_eat,186,1,22,,,1,0.4215,64.8
23,20/6/2020,8days_eat,165,0,23,hokkien mee,Chinese,1,0,64.8
24,20/6/2020,8days_eat,174,0,24,bak chang,Chinese,1,0,64.8
25,20/6/2020,8days_eat,179,6,25,,,4,0.429625,64.8
26,19/6/2020,8days_eat,176,0,26,,,1,0,64.8
27,19/6/2020,8days_eat,274,5,27,,,5,0,64.8
28,19/6/2020,8days_eat,139,1,28,,,1,0.8046,64.8
29,18/6/2020,8days_eat,48,0,29,,,1,0,64.8
30,18/6/2020,8days_eat,140,3,30,,,1,0,64.8
31,18/6/2020,8days_eat,227,1,31,bak chang,Chinese,1,0,64.8
32,18/6/2020,8days_eat,230,1,32,,,1,0.6514,64.8
33,17/6/2020,8days_eat,273,0,33,bak chang,Chinese,1,0,64.8
34,16/6/2020,8days_eat,178,6,34,,,2,0,64.8
35,16/6/2020,8days_eat,97,1,35,tofu,Japanese,1,0.4753,64.8
36,16/6/2020,8days_eat,388,3,36,kuih,,2,0.2463,64.8
37,15/6/2020,8days_eat,180,3,37,,,3,0.471766667,64.8
38,14/6/2020,8days_eat,329,3,38,,,3,0.354833333,64.8
39,14/6/2020,8days_eat,397,5,39,,,2,0.41125,64.8
40,13/6/2020,8days_eat,227,2,40,ramen,Japanese,2,0,64.8
41,13/6/2020,8days_eat,268,1,41,,,1,0,64.8
42,12/6/2020,8days_eat,327,1,42,pulut hitam,Desserts,1,0.9432,64.8
43,12/6/2020,8days_eat,206,2,43,yong tau foo,Chinese,2,0.3274,64.8
44,11/6/2020,8days_eat,171,0,44,,,1,0,64.8
45,11/6/2020,8days_eat,357,6,45,,,6,0.53515,64.8
46,11/6/2020,8days_eat,154,2,46,,,1,0,64.8
47,10/6/2020,8days_eat,387,14,47,,,9,0.083544444,64.8
48,10/6/2020,8days_eat,255,1,48,,,1,0.296,64.8
49,10/6/2020,8days_eat,480,5,49,,,5,0.12906,64.8
50,9/6/2020,8days_eat,229,2,50,,,2,0.20995,64.8
51,9/6/2020,8days_eat,625,8,51,,,6,0.139616667,64.8
52,8/6/2020,8days_eat,193,2,52,edamame,Japanese,2,0.26335,64.8
53,7/6/2020,8days_eat,519,11,53,,,5,0.24878,64.8
54,7/6/2020,8days_eat,362,12,54,,,7,0.214285714,64.8
55,6/6/2020,8days_eat,769,4,55,bak chang,Chinese,2,0,64.8
56,5/6/2020,8days_eat,211,0,56,milo,Drinks and beverages,1,0,64.8
57,4/6/2020,8days_eat,264,2,57,biryani,Cross-cultural,2,0.3057,64.8
58,4/6/2020,8days_eat,340,5,58,,,4,-0.01275,64.8
59,4/6/2020,8days_eat,350,7,59,,,5,0.0816,64.8
60,3/6/2020,8days_eat,264,2,60,,,2,0.3348,64.8
